Image Filename,Species Name,NBN Atlas Page,Taxon Id,Common Name ,Scientific Name,Wikipedia Page ,First recorded in UK,description,Establishment Means,Number of Occurrences,
Hammock-web_Spider_(.png,Hammock-web Spider,https://species.nbnatlas.org/species/NHMSYS0020706329,NHMSYS0020706329,Hammock-web Spider,Linyphia triangularis,https://en.wikipedia.org/wiki/Hammock-web_Spider,"O.P.-Cambridge, 1872","Hammock-web Spider - Constructs horizontal, sheet-like webs resembling a hammock. Common in gardens and woodlands, they are harmless to humans.",Native,1,
Harlequin_Ladybird_(.png,Harlequin Ladybird,https://species.nbnatlas.org/species/NHMSYS0000712592,NHMSYS0000712592,Harlequin Ladybird,Harmonia axyridis,https://en.wikipedia.org/wiki/Harlequin_Ladybird,"Pallas, 1773","Harlequin Ladybird - An invasive species with variable coloration, ranging from orange to black with varying numbers of spots. Known to outcompete native ladybirds.",Non-native,95139,
Holly_Blue_butterfly.png,Holly Blue Butterfly,https://species.nbnatlas.org/species/NHMSYS0000516260,NHMSYS0000516260,Holly Blue Butterfly,Celastrina argiolus,https://en.wikipedia.org/wiki/Holly_Blue_Butterfly,"Linnaeus, 1758",Holly Blue Butterfly - Small butterfly with pale blue wings, the undersides are silvery with small black spots. Often seen around holly and ivy plants.,Native,491026
Jelly_Ear_Fungus_(Au.png,Jelly Ear Fungus,https://species.nbnatlas.org/species/NBNSYS0000019421,NBNSYS0000019421,Jelly Ear Fungus,Auricularia auricula-judae,https://en.wikipedia.org/wiki/Jelly_Ear_Fungus,N/A,"Jelly Ear Fungus - Ear-shaped, gelatinous fungus that grows on elder trees. Brown to dark purple in color and commonly used in Asian cuisine.",Native,2238,
Lace_Web_Spider_(Ama.png,Lace Web Spider,https://species.nbnatlas.org/species/NHMSYS0020706329,NHMSYS0020706329,Lace Web Spider,Amaurobius similis,https://en.wikipedia.org/wiki/Lace_Web_Spider,N/A,"Lace Web Spider - Recognizable by the lace-like pattern on its brown body. Builds messy, lace-like webs on walls and fences.",N/A,N/A,
Large_Red_Damselfly_.png,Large Red Damselfly,https://species.nbnatlas.org/species/NBNSYS0000005599,NBNSYS0000005599,Large Red Damselfly,Pyrrhosoma nymphula,https://en.wikipedia.org/wiki/Large_Red_Damselfly,N/A,Large Red Damselfly - One of the first damselflies to emerge in spring, characterized by its bright red abdomen and black legs. Found near ponds and slow-moving water.,N/A,N/A
Marmalade_Hoverfly_(.png,Marmalade Hoverfly,https://species.nbnatlas.org/species/NBNSYS0000006916,NBNSYS0000006916,Marmalade Hoverfly,Episyrphus balteatus,https://en.wikipedia.org/wiki/Marmalade_Hoverfly,"De Geer, 1776",Marmalade Hoverfly - A small hoverfly with distinctive orange and black bands. Mimics the appearance of a wasp but is harmless and an important pollinator.,Native,51708,
Marsh_Frog_(Pelophyl.png,Marsh Frog,https://species.nbnatlas.org/species/NHMSYS0020194860,NHMSYS0020194860,Marsh Frog,Pelophylax ridibundus,https://en.wikipedia.org/wiki/Marsh_Frog,"Pallas, 1771","Marsh Frog - The largest frog species in the UK, with a loud, distinctive call. Prefers marshes and wetlands in southeastern England.",Non-native,1181,
Migrant_Hawker_drago.png,Migrant Hawker Dragonfly,https://species.nbnatlas.org/species/NBNSYS0000005627,NBNSYS0000005627,Migrant Hawker Dragonfly,Aeshna mixta,https://en.wikipedia.org/wiki/Migrant_Hawker_Dragonfly,N/A,"Migrant Hawker Dragonfly - A medium-sized dragonfly with a dark abdomen marked with blue spots. Often seen in late summer and autumn, feeding on flying insects.",Native,94003,
Natterjack_Toad_(Epi.png,Natterjack Toad,https://species.nbnatlas.org/species/NHMSYS0020194825,NHMSYS0020194825,Natterjack Toad,Epidalea calamita,https://en.wikipedia.org/wiki/Natterjack_Toad,"Laurenti, 1768","Natterjack Toad - Notable for the yellow line running down its back and its loud, rasping call. Inhabits sandy heaths and coastal dunes.",Native,47769,
Painted_Lady_butterf.png,Painted Lady Butterfly,https://species.nbnatlas.org/species/NBNSYS0100005950,NBNSYS0100005950,Painted Lady Butterfly,Vanessa cardui,https://en.wikipedia.org/wiki/Painted_Lady_Butterfly,"Linnaeus, 1758","Painted Lady Butterfly - A migratory butterfly with orange, black, and white patterned wings. Travels from North Africa to the UK during summer.",Native,578637,
Palmate_Newt_(Lissot.png,Palmate Newt,https://species.nbnatlas.org/species/NHMSYS0020194828,NHMSYS0020194828,Palmate Newt,Lissotriton helveticus,https://en.wikipedia.org/wiki/Palmate_Newt,"Razoumovsky, 1789",Palmate Newt - A small newt with smooth skin, males develop webbed hind feet and a filament at the end of the tail during breeding season. Found in ponds and wetlands.,Native,23841
Panther_Cap_mushroom.png,Panther Cap Mushroom,https://species.nbnatlas.org/species/NHMSYS0001473007,NHMSYS0001473007,Panther Cap Mushroom,Amanita pantherina,https://en.wikipedia.org/wiki/Panther_Cap_Mushroom,N/A,Panther Cap Mushroom - A toxic mushroom with a brown cap covered in white spots. Resembles the Fly Agaric but is more dangerous if ingested.,Native,15737,
Peacock_butterfly_(A.png,Peacock Butterfly,https://species.nbnatlas.org/species/NHMSYS0021143568,NHMSYS0021143568,Peacock Butterfly,Aglais io,https://en.wikipedia.org/wiki/Peacock_Butterfly,"Linnaeus, 1758","Peacock Butterfly - Easily identifiable by the eye-like markings on its wings, which deter predators. Common in gardens and meadows.",Native,1495374,
Raft_Spider_(Dolomed.png,Raft Spider,https://species.nbnatlas.org/species/NBNSYS0000008831,NBNSYS0000008831,Raft Spider,Dolomedes fimbriatus,https://en.wikipedia.org/wiki/Raft_Spider,"Clerck, 1757","Raft Spider - A large spider that can run across the water's surface, commonly found in wetland areas.",Native,280,
Red_Admiral_butterfl.png,Red Admiral Butterfly,https://species.nbnatlas.org/species/NHMSYS0000501034,NHMSYS0000501034,Red Admiral Butterfly,Vanessa atalanta,https://en.wikipedia.org/wiki/Red_Admiral_Butterfly,"Linnaeus, 1758",Red Admiral Butterfly - A striking butterfly with black wings adorned with red bands and white spots. Often seen in gardens feeding on nectar.,Native,1345839,
Red-tailed_Bumblebee.png,Red-tailed Bumblebee,https://species.nbnatlas.org/species/NHMSYS0000875567,NHMSYS0000875567,Red-tailed Bumblebee,Bombus lapidarius,https://en.wikipedia.org/wiki/Red-tailed_Bumblebee,"Linnaeus, 1758","Red-tailed Bumblebee - A bumblebee species with a distinctive red ""tail"" and black body. Common in gardens and grasslands.",Native,85416,
Running_Crab_Spider_.png,Running Crab Spider,https://species.nbnatlas.org/species/NHMSYS0020706329,NHMSYS0020706329,Running Crab Spider,Philodromus dispar,https://en.wikipedia.org/wiki/Running_Crab_Spider,"O.P.-Cambridge, 1872",Running Crab Spider - A fast-moving spider that does not spin webs but actively hunts prey.,Native,1,
Sand_Lizard_(Lacerta.png,Sand Lizard,https://species.nbnatlas.org/species/NBNSYS0000005070,NBNSYS0000005070,Sand Lizard,Lacerta agilis,https://en.wikipedia.org/wiki/Sand_Lizard,N/A,"Sand Lizard - A reptile with green coloration and black markings, found in sandy heathlands.",Native,55203,
Scarlet_Elf_Cup_fung.png,Scarlet Elf Cup Fungus,https://species.nbnatlas.org/species/NBNSYS0000019421,NBNSYS0000019421,Scarlet Elf Cup Fungus,Sarcoscypha coccinea,https://en.wikipedia.org/wiki/Scarlet_Elf_Cup_Fungus,N/A,"Scarlet Elf Cup Fungus - A bright red fungus shaped like a cup, typically found in damp woodlands.",Native,2238,
Seven-spot_Ladybird_.png,Seven-spot Ladybird,https://species.nbnatlas.org/species/NBNSYS0000008321,NBNSYS0000008321,Seven-spot Ladybird,Coccinella septempunctata,https://en.wikipedia.org/wiki/Seven-spot_Ladybird,N/A,Seven-spot Ladybird - A common ladybird with red wing covers and seven black spots.,Native,410,
Shaggy_Inkcap_mushro.png,Shaggy Inkcap Mushroom,https://species.nbnatlas.org/species/NHMSYS0001473007,NHMSYS0001473007,Shaggy Inkcap Mushroom,Coprinus comatus,https://en.wikipedia.org/wiki/Shaggy_Inkcap_Mushroom,N/A,"Shaggy Inkcap Mushroom - A tall, white mushroom that turns black and dissolves as it matures.",Native,15737,
Slow_Worm_(Anguis_fr.png,Slow Worm,https://species.nbnatlas.org/species/NBNSYS0000005072,NBNSYS0000005072,Slow Worm,Anguis fragilis,https://en.wikipedia.org/wiki/Slow_Worm,N/A,Slow Worm - A legless lizard that resembles a snake but can blink and shed its tail.,Native,75772,
Small_Tortoiseshell_.png,Small Tortoiseshell Butterfly,https://species.nbnatlas.org/species/NHMSYS0000501034,NHMSYS0000501034,Small Tortoiseshell Butterfly,Aglais urticae,https://en.wikipedia.org/wiki/Small_Tortoiseshell_Butterfly,"Linnaeus, 1758","Small Tortoiseshell Butterfly - A butterfly with orange and black wings, known for its resilience in winter.",Native,1345839,
Smooth_Snake_(Corone.png,Smooth Snake,https://species.nbnatlas.org/species/NHMSYS0000332360,NHMSYS0000332360,Smooth Snake,Coronella austriaca,https://en.wikipedia.org/wiki/Smooth_Snake,N/A,"Smooth Snake - A non-venomous snake with a smooth, brownish body, often found in grasslands.",Native,14232,
Southern_Hawker_drag.png,Southern Hawker Dragonfly,https://species.nbnatlas.org/species/NBNSYS0000005626,NBNSYS0000005626,Southern Hawker Dragonfly,Aeshna cyanea,https://en.wikipedia.org/wiki/Southern_Hawker_Dragonfly,"M&uuml;ller, 1764","Southern Hawker Dragonfly - A large dragonfly with green and blue markings, common around ponds.",Native,110222,
Speckled_Wood_butter.png,Speckled Wood Butterfly,https://species.nbnatlas.org/species/NHMSYS0000523344,NHMSYS0000523344,Speckled Wood Butterfly,Pararge aegeria,https://en.wikipedia.org/wiki/Speckled_Wood_Butterfly,"Linnaeus, 1758","Speckled Wood Butterfly - A butterfly with brown wings covered in cream speckles, found in woodlands.",Native,1880748,
Stag_Beetle_(Lucanus.png,Stag Beetle,https://species.nbnatlas.org/species/NBNSYS0000011449,NBNSYS0000011449,Stag Beetle,Lucanus cervus,https://en.wikipedia.org/wiki/Stag_Beetle,"Linnaeus, 1758","Stag Beetle - A large beetle with mandibles resembling antlers, often found in woodlands.",Native,4495,
Stinkhorn_fungus_(Ph.png,Stinkhorn Fungus,https://species.nbnatlas.org/species/NBNSYS0000019421,NBNSYS0000019421,Stinkhorn Fungus,Phallus impudicus,https://en.wikipedia.org/wiki/Stinkhorn_Fungus,N/A,Stinkhorn Fungus - A foul-smelling fungus that emerges from an egg-like structure.,Native,2238,
Stripe-legged_Spider.png,Stripe-legged Spider,https://species.nbnatlas.org/species/NHMSYS0020706329,NHMSYS0020706329,Stripe-legged Spider,Harpactea hombergi,https://en.wikipedia.org/wiki/Stripe-legged_Spider,"O.P.-Cambridge, 1872",Stripe-legged Spider - A spider species known for its striped legs and fast movements.,Native,1,
Thick-legged_Flower_.png,Thick-legged Flower Beetle,https://species.nbnatlas.org/species/NHMSYS0001716349,NHMSYS0001716349,Thick-legged Flower Beetle,Oedemera nobilis,https://en.wikipedia.org/wiki/Thick-legged_Flower_Beetle,"Piller &amp; Mitterpacher, 1783","Thick-legged Flower Beetle - A metallic green beetle with thick legs, commonly found on flowers.",Native,11226,
Tree_Bumblebee_(Bomb.png,Tree Bumblebee,https://species.nbnatlas.org/species/NHMSYS0000875564,NHMSYS0000875564,Tree Bumblebee,Bombus hypnorum,https://en.wikipedia.org/wiki/Tree_Bumblebee,"Linnaeus, 1758",Tree Bumblebee - A bumblebee species that nests in trees and has a ginger-colored thorax.,Native,40251,
Wall_Lizard_(Podarci.png,Wall Lizard,https://species.nbnatlas.org/species/NHMSYS0000080229,NHMSYS0000080229,Wall Lizard,Podarcis muralis,https://en.wikipedia.org/wiki/Wall_Lizard,"Laurenti, 1768","Wall Lizard - A small lizard with a flattened body, found in rocky habitats.",Non-native,3238,
Alpine_Newt_(Ichthy.png,Alpine Newt,https://species.nbnatlas.org/species/NHMSYS0020740241,NHMSYS0020740241,Alpine Newt,Ichthyosaura alpestris,https://en.wikipedia.org/wiki/Alpine_Newt,"Laurenti, 1768","Alpine Newt - A small amphibian with a dark back and orange belly, often found in mountain streams and ponds.",Non-native,436,
Edible_Frog_(Peloph.png,Edible Frog,https://species.nbnatlas.org/species/NHMSYS0020194861,NHMSYS0020194861,Edible Frog,Pelophylax kl. esculentus,https://en.wikipedia.org/wiki/Edible_Frog,"Linnaeus, 1758","Edible Frog - A greenish frog native to Europe, known for its loud croaking and semi-aquatic lifestyle.",Non-native,317,
Emperor_Dragonfly_(.png,Emperor Dragonfly,https://species.nbnatlas.org/species/NHMSYS0021009098,NHMSYS0021009098,Emperor Dragonfly,Anax imperator,https://en.wikipedia.org/wiki/Emperor_Dragonfly,"Burmeister, 1839","Emperor Dragonfly - One of the UK's largest dragonflies, with a bright blue abdomen and powerful flight.",Native,593,
Orange_Peel_Fungus_.png,Orange Peel Fungus,https://species.nbnatlas.org/species/NBNSYS0000019421,NBNSYS0000019421,Orange Peel Fungus,Aleuria aurantia,https://en.wikipedia.org/wiki/Orange_Peel_Fungus,N/A,"Orange Peel Fungus - A cup-shaped fungus with a bright orange color, typically found on soil and rotting wood.",Native,2238,
Balearic_shea.png,Balearic Shearwater,https://species.nbnatlas.org/species/NHMSYS0000530798,NHMSYS0000530798,Balearic Shearwater,Puffinus mauretanicus,https://en.wikipedia.org/wiki/Balearic_Shearwater,N/A,"Balearic Shearwater - A medium-sized seabird that migrates across the Atlantic, often seen off the UK coast in winter.",Native,10487,
barn_owl_(Tyt.png,Barn Owl,https://species.nbnatlas.org/species/NHMSYS0000530685,NHMSYS0000530685,Barn Owl,Tyto alba,https://en.wikipedia.org/wiki/Barn_Owl,"Scopoli, 1769","Barn Owl - A nocturnal bird of prey with a heart-shaped face and silent flight, commonly found in open countryside.",Native,277277,
bearded_tit_(.png,Bearded Tit,https://species.nbnatlas.org/species/NHMSYS0021003920,NHMSYS0021003920,Bearded Tit,Panurus biarmicus,https://en.wikipedia.org/wiki/Bearded_Tit,N/A,"Bearded Tit - A small, striking bird with a long tail and distinctive black ""moustache"" markings on males.",Native,58001,
black_guillem.png,Black Guillemot,https://species.nbnatlas.org/species/NBNSYS0000000376,NBNSYS0000000376,Black Guillemot,Cepphus grylle,https://en.wikipedia.org/wiki/Black_Guillemot,"Linnaeus, 1758","Black Guillemot - A black and white seabird that nests on rocky coasts, known for its red legs and white wing patches.",Native,53230,
black_redstar.png,Black Redstart,https://species.nbnatlas.org/species/NHMSYS0000530744,NHMSYS0000530744,Black Redstart,Phoenicurus ochruros,https://en.wikipedia.org/wiki/Black_Redstart,"Gmelin, SG, 1774",Black Redstart - A small passerine bird with dark plumage and a distinctive orange-red tail.,Native,63663,
blackcap_(Syl.png,Blackcap,https://species.nbnatlas.org/species/NHMSYS0000530633,NHMSYS0000530633,Blackcap,Sylvia atricapilla,https://en.wikipedia.org/wiki/Blackcap,"Linnaeus, 1758","Blackcap - A warbler with a melodious song, males have a black cap while females have a brown cap.",Native,1616645,
black-headed_.png,Black-headed Gull,https://species.nbnatlas.org/species/NHMSYS0020962539,NHMSYS0020962539,Black-headed Gull,Chroicocephalus ridibundus,https://en.wikipedia.org/wiki/Black-headed_Gull,"Linnaeus, 1766","Black-headed Gull - A medium-sized gull with a black head in summer, white head in winter, and red legs.",Native,2457285,
black-throate.png,Black-throated Thrush,https://species.nbnatlas.org/species/NHMSYS0021003843,NHMSYS0021003843,Black-throated Thrush,Turdus atrogularis,https://en.wikipedia.org/wiki/Black-throated_Thrush,N/A,"Black-throated Thrush - A rare winter visitor to the UK, a thrush with dark plumage and a pale throat.",Native,325,
blue_tit_(Cya.png,Blue Tit,https://species.nbnatlas.org/species/NHMSYS0001688296,NHMSYS0001688296,Blue Tit,Cyanistes caeruleus,https://en.wikipedia.org/wiki/Blue_Tit,"Linnaeus, 1758","Blue Tit - A small, acrobatic bird with a bright blue cap, yellow underparts, and a black eye stripe.",Native,5654596,
brambling_(Fr.png,Brambling,https://species.nbnatlas.org/species/NHMSYS0000530368,NHMSYS0000530368,Brambling,Fringilla montifringilla,https://en.wikipedia.org/wiki/Brambling,N/A,"Brambling - A small finch with a striking orange breast, white belly, and black and brown markings.",Native,226018,
carrion_crow_.png,Carrion Crow,https://species.nbnatlas.org/species/NHMSYS0000530315,NHMSYS0000530315,Carrion Crow,Corvus corone,https://en.wikipedia.org/wiki/Carrion_Crow,N/A,"Carrion Crow - A large, all-black crow commonly seen scavenging in urban and rural areas.",Native,4024459,
chaffinch_(Fr.png,Chaffinch,https://species.nbnatlas.org/species/NHMSYS0000530367,NHMSYS0000530367,Chaffinch,Fringilla coelebs,https://en.wikipedia.org/wiki/Chaffinch,N/A,"Chaffinch - A colorful finch with a blue-grey head, pink breast, and white wing bars.",Native,4611457,
coal_tit_(Per.png,Coal Tit,https://species.nbnatlas.org/species/NHMSYS0001688300,NHMSYS0001688300,Coal Tit,Periparus ater,https://en.wikipedia.org/wiki/Coal_Tit,"Linnaeus, 1758","Coal Tit - A small tit with a black cap, white cheeks, and a preference for coniferous woodland.",Native,2462432,
collared_dove.png,Collared Dove,https://species.nbnatlas.org/species/NHMSYS0000530621,NHMSYS0000530621,Collared Dove,Streptopelia decaocto,https://en.wikipedia.org/wiki/Collared_Dove,"Frivaldszky, 1838",Collared Dove - A pale grey dove with a distinctive black collar on the back of its neck.,Native,3073977,
common_blackb.png,Common Blackbird,https://species.nbnatlas.org/species/NHMSYS0000530674,NHMSYS0000530674,Common Blackbird,Turdus merula,https://en.wikipedia.org/wiki/Common_Blackbird,N/A,"Common Blackbird - A familiar garden bird, males are black with a yellow beak, while females are brown.",Native,6172528,
common_crossb.png,Common Crossbill,https://species.nbnatlas.org/species/NHMSYS0000530454,NHMSYS0000530454,Common Crossbill,Loxia curvirostra,https://en.wikipedia.org/wiki/Common_Crossbill,N/A,"Common Crossbill - A finch with a distinctive crossed bill, adapted for extracting seeds from pine cones.",Native,79334,
common_kingfi.png,Common Kingfisher,https://species.nbnatlas.org/species/NHMSYS0000530141,NHMSYS0000530141,Common Kingfisher,Alcedo atthis,https://en.wikipedia.org/wiki/Common_Kingfisher,"Linnaeus, 1758","Common Kingfisher - A small bird with brilliant blue and orange plumage, often seen near rivers and lakes.",Native,433432,
common_linnet.png,Common Linnet,https://species.nbnatlas.org/species/NHMSYS0021004282,NHMSYS0021004282,Common Linnet,Linaria cannabina,https://en.wikipedia.org/wiki/Common_Linnet,"Linnaeus, 1758",Common Linnet - A small finch with brown streaked plumage and a reddish breast in males.,Native,1075279,
common_moorhe.png,Common Moorhen,https://species.nbnatlas.org/species/NBNSYS0000000024,NBNSYS0000000024,Common Moorhen,Gallinula chloropus,https://en.wikipedia.org/wiki/Common_Moorhen,"Linnaeus, 1758","Common Moorhen - A medium-sized waterbird with dark plumage, red and yellow bill, and long legs.",Native,1830631,
common_redsha.png,Common Redshank,https://species.nbnatlas.org/species/NBNSYS0000000034,NBNSYS0000000034,Common Redshank,Tringa totanus,https://en.wikipedia.org/wiki/Common_Redshank,"Linnaeus, 1758","Common Redshank - A wader with long red legs and a straight bill, found in wetlands and estuaries.",Native,885907,
common_sandpi.png,Common Sandpiper,https://species.nbnatlas.org/species/NHMSYS0021053542,NHMSYS0021053542,Common Sandpiper,Actitis hypoleucos,https://en.wikipedia.org/wiki/Common_Sandpiper,"Linnaeus, 1758","Common Sandpiper - A small, brownish wader with a distinctive bobbing motion along the water’s edge.",Native,321432,
common_snipe_.png,Common Snipe,https://species.nbnatlas.org/species/NBNSYS0000000030,NBNSYS0000000030,Common Snipe,Gallinago gallinago,https://en.wikipedia.org/wiki/Common_Snipe,"Linnaeus, 1758","Common Snipe - A cryptically colored wader with a long, straight bill, found in marshes and wet grasslands.",Native,609373,
common_swift_.png,Common Swift,https://species.nbnatlas.org/species/NHMSYS0000530165,NHMSYS0000530165,Common Swift,Apus apus,https://en.wikipedia.org/wiki/Common_Swift,"Linnaeus, 1758","Common Swift - A fast-flying bird that spends most of its life in the air, recognizable by its sickle-shaped wings.",Native,883195,
